DATE_HOUR,Impressions,Conversions
2021-10-18-10,12937,371
2021-10-18-11,3829,296
2021-10-18-12,3328,228
2021-10-18-13,2404,126
2021-10-18-14,25122,192
2021-10-18-15,20923,385
2021-10-18-16,6820,136
2021-10-18-17,25489,284
2021-10-18-18,11171,327
2021-10-18-19,78515,667
2021-10-18-20,66221,499
2021-10-18-21,44786,498
2021-10-18-22,50232,496
2021-10-18-23,32522,416
2021-10-19-00,42022,481
2021-10-19-01,86947,509
2021-10-19-02,31062,519
2021-10-19-03,29256,532
2021-10-19-04,62351,634
2021-10-19-05,37818,481
2021-10-19-06,11716,359
2021-10-19-07,19799,463
2021-10-19-08,25639,475
2021-10-19-09,7449,275
2021-10-19-10,4471,258
2021-10-19-11,47091,268
2021-10-19-12,30435,172
2021-10-19-13,7890,95
2021-10-19-14,14139,197
2021-10-19-15,3920,167
2021-10-19-16,6169,142
2021-10-19-17,12100,262
2021-10-19-18,31901,276
2021-10-19-19,39017,321
2021-10-19-20,13751,217
2021-10-19-21,21048,253
2021-10-19-22,16187,248
2021-10-19-23,17455,203
2021-10-20-00,24035,269
2021-10-20-01,13507,246
2021-10-20-02,80064,269
2021-10-20-03,50638,362
2021-10-20-04,390509,812
2021-10-20-05,41272,322
2021-10-20-06,16930,232
2021-10-20-07,80682,625
2021-10-20-08,36001,424
2021-10-20-09,23455,273
2021-10-20-10,7361,326
2021-10-20-11,22022,365
2021-10-20-12,5344,205
2021-10-20-13,1366,50
2021-10-20-14,2388,76
2021-10-20-15,21268,225
2021-10-20-16,37159,311
2021-10-20-17,27561,230
2021-10-20-18,33042,259
2021-10-20-19,8426,168
2021-10-20-20,43038,333
2021-10-20-21,32266,278
2021-10-20-22,88456,649
2021-10-20-23,40935,252
2021-10-21-00,8739,165
2021-10-21-01,29618,207
2021-10-21-02,26626,251
2021-10-21-03,14951,200
2021-10-21-04,57191,223
2021-10-21-05,39787,344
2021-10-21-06,7564,238
2021-10-21-07,39615,576
2021-10-21-08,40278,572
2021-10-21-09,1751,54
2021-10-21-10,7071,220
2021-10-21-11,22341,333
2021-10-21-12,2792,71
2021-10-21-13,3115,110
2021-10-21-14,2370,103
2021-10-21-15,20801,211
2021-10-21-16,26935,240
2021-10-21-17,29788,267
2021-10-21-18,7557,184
2021-10-21-19,17191,179
2021-10-21-20,34705,197
2021-10-21-21,19484,126
2021-10-21-22,54573,418
2021-10-21-23,113677,448
2021-10-22-00,20344,157
2021-10-22-01,13967,258
2021-10-22-02,9037,137
2021-10-22-03,19124,193
2021-10-22-04,21529,164
2021-10-22-05,30862,268
2021-10-22-06,38675,491
2021-10-22-07,26364,479
2021-10-22-08,30513,392
2021-10-22-09,12946,178
2021-10-22-10,14826,300
2021-10-22-11,15978,355
2021-10-22-12,4164,101
2021-10-22-13,4083,133
2021-10-22-14,16481,240
2021-10-22-15,19942,203
2021-10-22-16,24638,304
2021-10-22-17,29806,312
2021-10-22-18,30540,244
2021-10-22-19,31618,232
2021-10-22-20,9266,191
2021-10-22-21,48804,381
2021-10-22-22,18819,195
2021-10-22-23,48559,258
2021-10-23-00,16718,330
2021-10-23-01,21890,147
2021-10-23-02,39901,350
2021-10-23-03,7873,152
2021-10-23-04,32027,476
2021-10-23-05,44466,501
2021-10-23-06,25184,510
2021-10-23-07,20177,432
2021-10-23-08,34744,483
2021-10-23-09,11045,422
2021-10-23-10,14430,251
2021-10-23-11,12365,421
2021-10-23-12,8294,304
2021-10-23-13,32354,416
2021-10-23-14,10832,284
2021-10-23-15,33921,435
2021-10-23-16,27250,493
2021-10-23-17,14168,333
2021-10-23-18,26378,432
2021-10-23-19,10358,246
2021-10-23-20,11530,279
2021-10-23-21,49310,487
2021-10-23-22,52282,354
2021-10-23-23,49069,355
2021-10-24-00,13958,217
2021-10-24-01,19214,292
2021-10-24-02,29706,391
2021-10-24-03,22862,239
2021-10-24-04,8507,195
2021-10-24-05,6622,145
2021-10-24-06,43890,316
2021-10-24-07,25538,233
2021-10-24-08,39405,476
2021-10-24-09,7163,199
2021-10-24-10,43764,634
2021-10-24-11,9336,307
2021-10-24-12,24342,211
2021-10-24-13,31156,487
2021-10-24-14,18481,237
2021-10-24-15,16385,215
2021-10-24-16,30304,325
2021-10-24-17,16110,233
2021-10-24-18,20741,278
2021-10-24-19,4728,183
2021-10-24-20,27231,207
2021-10-24-21,45428,372
2021-10-24-22,8729,137
2021-10-24-23,112380,785
2021-10-25-00,15839,243
2021-10-25-01,60958,335
2021-10-25-02,62071,711
2021-10-25-03,15941,227
2021-10-25-04,37452,342
2021-10-25-05,29911,390
2021-10-25-06,6457,192
2021-10-25-07,19787,305
2021-10-25-08,25670,465
2021-10-25-09,6624,140
2021-10-25-10,4129,188
2021-10-25-11,5331,195
2021-10-25-12,1862,117
2021-10-25-13,1021,67
2021-10-25-14,1655,39
2021-10-25-15,2805,120
2021-10-25-16,2533,81
2021-10-25-17,3062,71
2021-10-25-18,2925,42
2021-10-25-19,3013,101
2021-10-25-20,3882,125
2021-10-25-21,4719,113
2021-10-25-22,4861,139
2021-10-25-23,6225,140
2021-10-26-00,6941,176
2021-10-26-01,7933,250
2021-10-26-02,6475,188
2021-10-26-03,4795,129
2021-10-26-04,4400,180
2021-10-26-05,2606,82
2021-10-26-06,2109,70
2021-10-26-07,1399,47
2021-10-26-08,1031,49
2021-10-26-09,989,48
2021-10-26-10,932,85
2021-10-26-11,834,50
2021-10-26-12,1196,66
2021-10-26-13,1309,75
2021-10-26-14,1750,54
2021-10-26-15,1577,70
